RLBWXYH,class
[165 116  50  49  17   1   5   0],text
[181  99  80  37  23   2   3   0],text
[182  60  95  24  24   3   2   1],text
[186 180  50  32  21   9   1   0],text
[369 139 102  32  13   6   0   0],text
[195 162  62  33  11   5   5   0],text
[  4  40 105  50  35   0   1   0],text
[82 73 45 23 23  6  2  1],text
[179  99  66  23  27   4   3   0],text
[314 156  73  35  16   4   1   0],text
[129  93  40  26  24   4   0   3],text
[ 34 145 114  67  12   2   1   0],text
[191 126  54  44  15   6   3   0],text
[147  93  38  19  29   7   1   1],text
[170 104  64  40  21   6   2   0],text
[215 152  78  34  15   5   2   0],text
[156 132  69  16  37   5   0   0],text
[170 105  82  25  20   3   4   0],text
[203 137  62  39  16  11   1   0],text
[201 111  71  37  21   3   3   0],text
[361 142  64  20   7  17   0   0],text
[254  86  68  36  18  13   0   0],text
[149 118  75  32  18   5   4   0],text
[89 73 66 25 16  6  2  2],text
[112 138  79  44  15   8   1   0],text
[302 100  62  32  11  16   0   0],text
[107  23  13  37  27   4   0   2],non-text
[265  96 122  20  17   9   0   0],text
[44 10 13  7 21  5  3  2],non-text
[182 127  83  36  15   6   2   0],text
[271 125  74  30  15  12   0   0],text
[202 174  62  46  13   3   3   0],text
[173 112  39  37  18   5   5   0],text
[127 122  41  35  19   5   4   0],text
[77 21 17 19 26 10  4  1],non-text
[199 123  76  29  19   2   2   1],text
[206 131  72  28  17  10   1   0],text
[118  44  43  39  14   4   3   2],text
[122  64  29  21  27  11   2   1],text
[307 128  71  37  12  12   0   0],text
[29  3  0  1  8 12 10  2],non-text
[119 103  46  38  28   6   3   0],text
[126 118  54  27  32   5   1   0],text
[150  78  55  26  23   4   1   2],text
[164 141  56  46  14   4   4   0],text
[153  70  60  31  21   9   3   0],text
[117  52  30  27  15   9   0   3],text
[164 133  55  45  13   7   4   0],text
[271 184  41  28  27   3   1   0],text
[190 109  60  35  15   6   4   0],text
[199 131  44  37  31   5   0   0],text
[335 115  76  32   5  16   0   0],text
[179  81  43  41  19   6   4   0],text
[184 113  67  38  20   4   3   0],text
[206  99  56  47  21   7   1   0],text
[149  85  58  44  20   6   0   1],text
[129  76  55  42  38   2   0   0],non-text
[157 148  83  37  14   3   1   1],text
[118  93  23  40  31   3   2   0],text
[85 88 36 26 29  4  1  2],text
[25 85 68 88 14  1  1  1],text
[49 17 11  7 13  9  4  3],non-text
[140  94  59  21  28   6   3   0],text
[127 101  55  72  28   1   0   0],non-text
[25 31  5  2 58  0  2  0],non-text
[161 109  58  32  21   3   4   0],text
[160  93  42  37  19  11   3   0],text
[144 132  41  18  27   7   1   1],text
[208  73  51  30  22  12   1   0],text
[60  6 10 16 21 11  2  3],non-text
[126 103  45  24  34   4   0   1],text
[140 110  56  34  22   5   1   1],text
[55 17  7  8 25  5  2  2],non-text
[309 162  57  37  21   5   0   0],text
[235 109  32  55  23   2   3   0],text
[163 102  73  30  18   4   2   1],text
[183 188  49  30  27   2   1   1],text
[205 118  59  35  24  10   0   0],text
[179 172  69  37  22   4   1   0],text
[211 152  77  23  21   4   2   0],text
[ 7 97 73 49 20  0  2  1],text
[ 0 14 33 46 59  0  1  0],text
[121  59  32  47  19   4   2   1],text
[154 117  47  34  24   4   3   0],text
[173 115  46  36  19   2   6   0],text
[118  74  49  37  17   9   2   1],text
[171 146  61  41  16   9   1   0],text
[192  92  62  36  18   4   1   2],text
[278  99  37  44  28   2   0   1],text
[303 103  42  30  15  14   0   0],text
[192  93  43  31  21   8   3   0],text
[146 137  66  28  36   2   1   0],text
[223 140  57  31  22   7   1   0],text
[282  97  62  25  12  15   2   0],text
[154  67  35  29  28   5   1   2],text
[139  84  32  26  25   9   1   1],text
[33  3  3  3  2  6 12  3],non-text
[235 203  81  22  25   2   1   0],text
[ 5 29 91 70 30  1  1  0],text
[155 103  68  24  14   7   3   1],text
[152  96  56  41  16   8   1   1],text
[49 18 13 11 25  0  4  3],non-text
[185  55  35  26  18  12   1   1],text
[138 105  50  34  29   5   2   0],text
[179 135  96  29  10   2   4   0],text
[121  68  54  41  21   4   1   1],non-text
[228 196  76  38  17   6   0   0],text
[199 102  55  34  19  10   1   0],text
[38  3  5  5 21  1  6  2],non-text
[91 28 26 30 27  8  6  0],non-text
[154  99  62  20  20   9   2   1],text
[140 114  54  32  26   6   2   1],text
[178  78  61  25  20   6   5   0],text
[148  88  39  33  14   7   6   0],text
[157  99  39  24  20   6   3   1],text
[173 122  55  27  25   4   3   0],text
[185 100  67  29  23   4   2   1],text
[241  90  58  35  21   8   2   0],text
[107 103  20  46  19   1   0   2],non-text
[218 159  61  34   8   7   4   0],text
[152 131  41  36  23   2   6   0],text
[263 131  57  48  13   6   0   1],text
[85 66 38 19 24  5  5  1],text
[207 102  59  15  31   5   2   0],text
[142  82  46  36  21   8   1   1],text
[217 148  77  45  12   2   4   0],text
[346 178  91  30   9   9   0   0],text
[16  8 31 20 83  1  0  0],non-text
[118  61  31  10  26  10   2   1],text
[144 104  51  31  19   7   2   1],text
[177 102  50  40  22   6   2   0],text
[420 106  61  30  12  12   0   0],text
[251 189  80  35   9   4   3   0],text
[186 114  89  25  16   7   1   1],text
[128 116  72  56  13   3   3   0],text
[30 21 15  2 60  2  0  0],non-text
[132  61  27  28  22   5   1   3],text
[138  59  61  25  23   4   4   1],text
[109 124  77  39  24   3   0   1],text
[198 104  47  24  21   5   3   1],text
[20 12 49 91  9  0  2  2],non-text
[ 38 163  93  43  22   1   0   1],text
[244  82  65  37  13  13   1   0],text
[190 126  55  50  19   3   3   0],text
[155 111  66  46  14   3   1   1],text
[130  75  43  30  19   7   2   1],text
[176  97  52  31  22   2   5   0],text
[236  64  59  33  23  14   0   0],text
[179  59  59  31  14   9   4   0],text
[184 143  76  32  17   3   1   1],text
[151  94  60  25  24   4   1   2],text
[101  56  35  44  16   6   6   1],text
[303 143  75  32  30   1   0   0],text
[185 133  66  32  20   3   4   0],text
[17  2  4  1  6  1  2  6],non-text
[168  94  78  40  15   1   4   1],text
[70 16  7 14 11 15  7  1],non-text
